keys,en,ru
title,Critic's Choice,Выбор Критика
disclaimer,This story is a work of fiction.\nSimilarities between characters or events to persons\nliving or dead are purely coincidental.,Эта история - вымысел.\nСходство между персонажами или событиями и людьми\nныне живущими или мёртвыми является случайным.
start,Start,Начать
settings,Settings,Настройки
credits,Credits,Титры
quit,Quit,Выход
continue,Continue,Продолжить
go_to_main,Exit to menu,Выйти в меню
text_lang_select,Text language,Язык текста
voice_lang_select,Voice language,Язык озвучки
play,PLAY,ИГРАТЬ
fullscreen,Fullscreen,Полный экран
music_vol,Music volume,Громкость музыки
voice_vol,Voice volume,Громкость озвучки
sound_vol,Sound volume,Громкость звуков
on,On,Вкл
off,Off,Выкл
no_voice,None,Выкл
back,BACK,НАЗАД
narrator_1,"Our story, just like any other story,\ntakes place in beautiful New York City.","Наша история, как и\nлюбая другая история,\nпроисходит в славном\nгороде Нью-Йорке."
narrator_2,It is here that for the last 10 years\nthe head office of the famous gaming magazine\ncalled Best Games Magazine has been located.,Именно тут вот уже 10 лет\nрасполагается головной офис\nизвестного игрового журнала\nBest Games Magazine.
narrator_3,"Despite some problems in the past,\nBGM has established itself as the most widely read\ngaming magazine in all of the United States,\nas well as one of the most popular magazines\nin other English-speaking countries.","Несмотря на некоторые проблемы\nв прошлом, BGM зарекомендовал себя\nкак самый читаемый журнал об играх\nво всех Соединенных Штатах, а также как\nодин из наиболее популярных журналов\nи в других англоговорящих странах."
narrator_4,The main character of our story - Jason Lee - works right here.,Именно здесь работает главный герой\nнашей истории - Джейсон Ли.
narrator_5,"Jason is 27 years old, he majored in journalism\nand is a big fan of videogames since childhood.","Джейсону 27 лет, он закончил журфак\nи с детства увлекался видеоиграми."
narrator_6,"And although he can still be called a beginner\nin gaming journalism, he earned respect\namong colleagues and readers with his articles.","И хотя его пока можно назвать новичком\nв игровой журналистике, своими статьями он\nзаработал уважение среди коллег и читателей."
narrator_7,"While enjoying the cool breeze of an air conditioner,\nJason is now writing another article.","Наслаждаясь прохладным ветерком кондиционера,\nДжейсон пишет очередную статью."
narrator_8,"Apparently, he decided to write about\nthe impact of indie games on modern\nAAA-projects.","Судя по всему, он решил рассмотреть\nвлияние инди-игр на современные\nААА-проекты."
narrator_9,"And although now he is busy with the article\nabout indie games, all he can do is think about\na completely different game.","И хотя сейчас он занят статьей про инди-игры,\nдумает он о совсем другой игре."
narrator_10,"After seven years of development,\nSneaky Cat is finally releasing their\nmost ambitious project.",Спустя семь лет разработки\nстудия Sneaky Cat наконец-то выпустит\nсвой самый амбициозный проект.
narrator_11,"Their new game is called The First of Them.\nIt’s an action drama about the invasion of aliens,\nlove and revenge.","Их новая игра называется «The First of Them».\nЭто экшен-драма о вторжении инопланетян,\nлюбви и мести."
narrator_12,"Any BGM journalist hopes that he will be\nentrusted with writing a review of this game,\nbut only one will get this assignment.","Любой журналист BGM надеется,\nчто именно ему поручат писать обзор на эту игру,\nно достанется она только одному."
narrator_13,And because of this fact\nthe atmosphere in the office was\nvery tense these last couple of weeks.,Из-за этого в офисе в последнее время\nстоит очень напряженная атмосфера.
narrator_14,And now comes the moment of truth.,И вот наступает момент истины.
narrator_15,"Matt Baker, editor-in-chief,\ncomes out of his office.","Из своего офиса выходит Мэтт Бейкер,\nглавный редактор."
narrator_16,"After pressing Ctrl+S and putting\nhis computer in sleep mode,\nJason headed for the boss’s office.","Нажав на клавиатуре Ctrl+S\nи отправив компьютер в режим сна,\nДжейсон направился в офис шефа."
narrator_17,Matt gives Jason a non-disclosure agreement.,Мэтт дает Джейсону договор о неразглашении.
narrator_18,"Jason can’t hide his joy from colleagues,\nbecause he was asked to write the review.\nHe’s been waiting for this game for a long time.","Джейсон не может скрыть радость,\nведь выбрали именно его.\nОн очень давно ждал эту игру."
narrator_19,"While he is packing his stuff,\na young woman approaches him.\nHer name is Naomi Song and she started\nworking at BGM at the same time as he did.","Пока он собирал вещи, к нему подошла девушка.\nЕё зовут Наоми Сонг и она начала работать в BGM\nодновременно с ним."
narrator_20,"The girl went to her workplace and Jason left the office,\nhappily heading to his home.","Девушка пошла к себе на рабочее место,\nа Джейсон вышел из офиса,\nрадостно направляясь к себе домой."
narrator_21,The First of Them’s ads were\nalready all over the city.,"По всему городу уже висели\nпостеры игры «The First of Them»,\nреклама игры шла полным ходом."
narrator_22,"Every time passing by them,\nJason paid attention to the UFOs\non the posters.","Каждый раз проходя мимо них,\nДжейсон обращал внимание\nна НЛО на плакатах."
narrator_23,"When Jason got home, the first thing he did\nwas insert the disc into his Mony PayStation 4ever\nconsole so that installation could begin.",Дома Джейсон первым делом вставил диск\nв консоль Mony PayStation 4ever и начал\nустанавливать игру на жёсткий диск.
narrator_24,"While the installation is in progress,\nhe begins to carefully read\nthe non-disclosure agreement\nhe signed earlier.","Пока шёл процесс установки,\nон начал внимательно читать\nдоговор о неразглашении."
narrator_25,Jason decides to call his chief\njust in case.,На всякий случай Джейсон\nрешил позвонить начальнику.
narrator_26,Jason hangs the phone\nand continues reading.,"Повесив трубку,\nДжейсон продолжил читать договор."
narrator_27,A few minutes later the console\nwith a quiet sound informs Jason\nthat the game finished installing.,"Спустя несколько минут консоль небольшим писком\nизвестила его о том, что игра закончила устанавливаться\nна жёсткий диск."
narrator_28,"After checking the settings\nand turning the subtitles on,\nJason starts the game.","Проверив настройки и включив субтитры,\nДжейсон приступает к игре."
narrator_29,A couple of hours later Jason\nfinally comes to his senses.,"Спустя пару часов,\nДжейсон наконец-то пришёл в себя."
narrator_30,It’s finally time to write the review.\nJason turns on his laptop and starts writing.,Пришло время писать обзор.\nДжейсон включил ноутбук\nи начал набрасывать текст.
narrator_31,Jason smiled and went to his desk.,Джейсон ухмыльнулся и пошел на свое рабочее место.
narrator_32,"The next day, his review appeared\non the BGM’s homepage.",На следующий день на главной странице\nBGM появилась его статья.
jason_1,"Yes, just a second.\nI need to save.","Да, секунду,\nтолько сохранюсь."
jason_2,What did you want\nto talk about?,О чем вы\nхотели поговорить?
jason_3,Really!?\nThank you very much!,Да ладно?!\nСпасибо огромное!
jason_4,Got it. Will do.,Понял.\nСделаю.
jason_5,"Thanks, chief.","Спасибо, шеф."
jason_6,"You figured it out,\nhuh?","Догадалась, да?"
jason_7,"Well, don’t worry,\nyou’ll have plenty of work\nthis fall.","Ну ты не расстраивайся,\nосенью работёнки нам всем хватит."
jason_8,"Yeah, sure.",Хорошо.
jason_9,Do not describe the second half\nof the game in the review..?,Не описывать в обзоре\nвторую половину игры?..
jason_10,"Huh, first time I see\nsomething like this...","Хм, впервые такое вижу..."
jason_11,They ask us not to describe\nthe second half of the game?,Они просят не рассказывать\nпро вторую половину?
jason_12,"Oh, I just haven’t heard about\nthis kind of requests before.",Я просто о подобных требованиях\nраньше не слышал.
jason_13,"Well, okay.\nThanks.","Ну ладно, спасибо."
jason_14,Sorry to distract.,"Извините, что отвлёк."
jason_15,I didn’t expect THIS\nfrom them...,Я от них такого не ожидал...
jason_16,The game’s just so...,Какая ж игра просто...
jason_17,"So, first things\nfirst...","Так, вступление..."
jason_18,"Well, it looks good.\nNow about the plot...","Ну, вроде неплохо,\nдальше про сюжет..."
jason_19,The developers asked us\nnot to mention the second half\nof the game and now I know why...,Разработчики просили\nне упоминать вторую половину\nигры и я теперь понимаю\nпочему...
jason_20,Right.\nAnd the gameplay was...,"Так, а геймплей был..."
jason_21,"Well, and now a couple of words\nabout graphics and animations...",Ну и напоследок про\nграфику и анимации...
jason_22,"Well then, all that’s left\nis a beautiful conclusion.","Так, осталось только\nкрасивый вывод написать."
jason_23,Now I just have to send it\nto chief and I can finally relax.,Отправлю шефу и можно\nбудет отдохнуть.
jason_24,"Thanks, chief!\nI’m so glad to hear that!","Спасибо, шеф!\nПриятно это слышать!"
jason_25,I hope my article\nwill reach players.,"Надеюсь, смогу достучаться\nдо игроков."
jason_26,They all should know\nwhat this game really is.,"Всем нужно знать,\nчто из себя представляет\nэта игра."
matt_1,Jason!\nCould we talk\nfor a moment?,Джейсон!\nПодойдешь на минутку?
matt_2,I decided to give\nThe First of Them to you.,Я решил поручить обзор\nна «The First of Them» тебе.
matt_3,"Don’t be so happy,\nthe review must be here\nby Thursday, so you won’t be able\nto play as much as you want.","Но не радуйся особо,\nобзор должен быть готов к четвергу,\nпоэтому долго поиграть не получится."
matt_4,"The size of the review is as usual,\nso you should have just enough time\nto go through the game and write about it.","Размер обзора - обычный,\nтак что времени пройти игру\nи написать текст тебе должно хватить."
matt_5,"Alright then.\nHere’s your copy,\njust sing here and here.","Так, вот твоя ревью-копия,\nраспишись здесь в получении."
matt_6,"You’re free for the rest of the day,\nsee you on Thursday.","На сегодня ты свободен,\nувидимся в четверг."
matt_7,I’m waiting for\nthe review.,Жду обзор.
matt_8,"You really should read something\nbefore signing, you know?","Знаешь, иногда лучшее читать что-то\nперед тем, как подписываешь."
matt_9,"But yes, they do.",Но вообще да.
matt_10,"We were told that the second half\nwill shock players, so they really\ninsist on not mentioning this part\nof the game in the review.","Нам сказали, что вторая половина\nдолжна шокировать игроков,\nпоэтому они настойчиво просят\nне рассказывать о ней в обзоре."
matt_11,"Well, I read what\nyou sent me...","Ну, прочитал я тут то,\nчто ты мне прислал..."
matt_12,What can I say...,Что я могу\nтебе сказать...
matt_13,Good job!\nWell done!,"Молодец,\nхорошо постарался!"
matt_14,Yet again you wrote something\npowerful and moving!,Ещё одна мощная статья\nв твою копилку!
matt_15,"Embargo lifts tomorrow,\nso your review will be\non the homepage by morning.","Эмбарго спадает завтра,\nтак что утром сможешь увидеть её\nна главной странице BGM."
matt_16,"You know, if anyone\ncan do it, it’s you.","Знаешь, парень, если уж кто-то\nи сможет до них достучаться,\nтак только ты."
naomi_1,I suppose I should\ncongratulate you..?,"Я так понимаю,\nтебя можно поздравить?"
naomi_2,It’s very hard not to.,А тут сложно не догадаться.
naomi_3,The only big titles to release\nthis month are The First of Them\nand a couple of remasters.,"Сейчас мёртвый сезон,\nиз крупных проектов только\n«The First of Them» да пара\nремастеров старых игр."
naomi_4,"And seeing as you’re packing your stuff,\nyou didn’t get those remasters.","Раз уж ты собираешь шмотки,\nто тебе точно не ремастеры поручили."
naomi_5,"Oh, shut your mouth!",Ой да иди ты!
naomi_6,...,...
naomi_7,"Call me later, I’m interested in hearing\nyour thoughts about the game.","Позвони вечерком мне,\nрасскажи, как игра."
guy_1,"Well, it wasn’t that bad in the end.","Ну, короче, всё не так плохо оказалось."
guy_2,But he won’t get that promotion either way!,Но повышения ему все равно не видать!
guy_3,And here’s a little present for you!,А вот маленький подарочек для тебя!
guy_4,Don’t know. But we need to be careful\nand stay put.,Без понятия. Но нам нужно быть осторожными и не высовываться.
guy_5,"We need to get out of the city,\nthey’re everywhere here!","Нужно валить из этого города,\nони тут повсюду!"
guy_6,Hide behind me!,Спрячься за мной!
guy_7,I’m... alive?,Я... я жив?
guy_8,But what about...,А что с...
guy_9,Honey!,Милая!
guy_10,No... No!,Нет... Нет!
guy_11,I’LL KILL YOU!!!!!!,Я ВАС УНИЧТОЖУ!!!!!!
guy_12,But you’re dying!,Но ты же умираешь!
guy_13,"You’ll answer for everything that you’ve done,\nbastards!","Вы за все ответите, твари!"
guy_14,"Don’t move, you son of a bitch!","Стоять, сукин сын!"
guy_15,Why did you attack us!?,Зачем вы на нас напали?!
guy_16,"You killed my girl, you bastards!","Твари, вы убили мою любимую!"
guy_17,She didn’t do anything to you!,Она вам ничего не сделала!
guy_18,...,...
guy_19,Why... why are you touching her wound?,Ты что... трогаешь её рану?
guy_20,You bastard!,Сволочь!
guy_21,No...,Нет...
guy_22,I’ve become the same as you...,"Я стал таким же, как вы..."
girl_1,"Well, I told you. It depends on how you look at it.","Ну говорила же, тут смотря с какой стороны посмотреть."
girl_2,Yep. He won’t!,Угум. Да-да.
girl_3,"Aw, so cute!",Это так мило!
girl_4,Ah!,Ах!
girl_5,What the hell is going on!?,Что за хрень происходит?!
girl_6,Look! Over there!,Смотри!
girl_7,Aaah!,А-а-а!
rebel_1,These bastards have taken over the power plant\nand are now sucking our electricity dry!,Эти твари захватили электростанцию\nи теперь сосут наше электричество!
rebel_2,The plan is simple: we go there and kill every\nsingle one of those extraterrestrial assholes!,План такой: приходим и валим каждого\nинопланетного гада!
rebel_3,Tell... Annie...,Скажи... Энни...
rebel_4,That I’m okay...,Что я в порядке...
old_1,What’s it doing here..?,Что он здесь делает?..
old_2,Oh...,Ох...
old_3,Looks like they crashed here...,"Похоже, они тут разбились..."
old_4,How terrible...,Эх... Нехорошо это...
old_5,"Here, here... You may now rest in peace.",Вот... покойтесь с миром.
buttons1_1,What a heat...,Ну и жарища...
buttons1_2,When’s the salary day?,Когда там зарплата-то придет?
buttons1_3,I really should go out of town this weekend.,Надо бы на выходных съездить за город.
buttons1_4,"Oh, the game comes out very soon!","О, скоро же та игрушка выходит!"
buttons2_1,I wonder what the cover art will look like?,"Интересно, какая у игры будет обложка?"
buttons2_2,That latest trailer was wicked.,Трейлер недавно просто чумовой выпустили.
buttons2_3,It’s so cool that the main character is voiced\nby Nolan Baker.,"Круто, что главного героя озвучивает\nНолан Бейкер."
buttons2_4,It’d be great to see a PC port in a couple of years.,Было бы классно увидеть через пару лет\nпорт на ПК.
buttons3_1,"Huh, they usually make a much more dynamic\ntitle screen.","Хм, обычно у них меню более динамичное."
buttons3_2,I wonder what’s up with this cabin...,"Интересно, что это за хижина такая..."
buttons3_3,I’ve been waiting for this game for so long!,Сколько лет я ждал эту игру!
buttons3_4,"Oh, I need to check the settings...","Так, надо проверить настройки..."
buttons4_1,This cutscene is already ten minutes long...,Заставка идёт уже десять минут...
buttons4_2,"Give me a gun, I’ll kill all the aliens!","Мне бы щас пушку какую,\nвсех бы пришельцев перебил!"
buttons4_3,"Oh shoot, I forgot to turn the subtitles on...","Блин, забыл субтитры включить..."
buttons4_4,"Huh, the design of the saucers is so classic,\nreminds me of the one in children’s books.","Хм, дизайн тарелок классический,\nпрямо как в детских книжках."
buttons5_1,"Ha-ha, they are little green dudes!","Ха-ха, зеленые человечки!"
buttons5_2,The gameplay is definitely boring.,Геймплей конечно уныленький.
buttons5_3,I wonder if there will be QTEs.,"Интересно, а QTE здесь будут?"
buttons5_4,It’d be cool to stealth through the game like a pro.,Было бы прикольно по-стелсу пройти игру.
buttons6_1,These bastard’ll pay for this! I’ll kill ‘em all!,Эти ублюдки за всё ответят!\nВсех сейчас перебью!
buttons6_2,What a start!\nI wonder how he managed to survive?,"Вот так завязка сюжета!\nИнтересно, как парню удалось выжить?"
buttons6_3,"I’m sad that they killed her, I liked her.","Жаль, что её так быстро убили,\nона мне нравилась."
buttons6_4,"Ah, classic revenge story, cool.","А, классический сюжет про месть,\nкруто-круто."
buttons7_1,"Oh, they killed him off too... He was cool.","Ну вот, ещё и его завалили...\nОн крутой был."
buttons7_2,Who’s Annie? Did they mention her before?,А кто такая Энни? О ней вроде раньше\nничего не говорили.
buttons7_3,How will we take over the power plant without him?,Как мы без него электростанцию вернём-то?
buttons7_4,"Huh, the game isn’t afraid to kill all the cool\ncharacters...","Хм, игра не боится убивать всех\nприкольных героев..."
buttons8_1,I’m ten hours in and the gameplay\nhasn’t changed at all.,За десять часов геймплей так и не поменялся.
buttons8_2,These action moments are so lame...,Экшен сцены как-то совсем не цепляют...
buttons8_3,"Well, it seems like the game’s ending soon,\nthat’s good.","Так, ну вроде дело к концу идёт, это радует."
buttons8_4,I wonder how they will win?,"Интересно, как они собираются их победить-то?"
buttons9_1,Uh... wait what?,Эм... что?
buttons9_2,Who’s this old geezer?,Что это за дед?
buttons9_3,"The dog’s cute, I like shepherd dogs.","Собачка милая, люблю овчарок."
buttons9_4,How are this grandpa and his dog related\nto the plot?,Как дедуля и его пёс связаны с сюжетом?..
buttons10_1,I don’t understand what’s going on anymore.,"Я вообще перестал понимать, что происходит."
buttons10_2,"Why’s he burying their bodies, aren’t they\nthe enemies!?","Зачем он закапывает их тела, они же враги?!"
buttons10_3,The blaster was so far from the crash site..?,Бластер находился так далеко от места\nпадения тарелки?..
buttons10_4,"Wait a second, where did he get that shovel from?","Так, стоп, дед же с собой не брал лопату,\nкак он их закопал?"
buttons11_1,WHAT THE F..!?,КАКОГО?!
buttons11_2,HE FORGIVES THEM AND GIVES UP!?,ОН ПРОСТИЛ ИХ И СДАЛСЯ?!
buttons11_3,WHAT JUST HAPPENED!?,ЧТО ЭТО ВООБЩЕ СЕЙЧАС БЫЛО?!
buttons11_4,...,...
buttons12_1,And they spent several years making this trash!?,И эту хрень они несколько лет делали?!
buttons12_2,What a pointless game...,Какая же бессмысленная игра...
buttons12_3,"Well, I hope I can return it to the store...","Интересно, примут ли её назад в магазине..."
buttons12_4,Aaaaaaargh!,А-а-а-а-а-а-а-а!
buttons13_1,It’s hard to find such trash as this\npiece of crap game.,"Сложно найти ещё больший мусор,\nчем эта игра."
buttons13_2,After playing this game I regret that I was born.,"Поиграв в это, я жалею, что вообще\nродился на свет."
buttons13_3,It would be more fun to burn 60 bucks that I spent\non this game.,"Было бы приятнее сжечь те 60 долларов,\nчто я потратил на игру."
buttons13_4,The developers might as well have killed\nthe gaming industry with this turd.,"Возможно, сегодня разработчики убили\nиндустрию видеоигр."
buttons14_1,The story was written by some kind of\nderanged idiot.,Сюжет писал какой-то сумасшедший.
buttons14_2,It’s just incomprehensible how one could ruin\nalmost every aspect of the story!,Как так можно было всё взять и слить -\nпросто уму не постижимо!
buttons14_3,The movie The Apartment by Tom Whysaw\nhas better story than this game.,В фильме «Квартира» Тома Уайсоу сюжет\nи то лучше был.
buttons14_4,We all really should just forget this horrible plot.,Об этом сюжете лучше вообще не говорить\nи поскорее его забыть.
buttons15_1,The gameplay is just awful. AND BORING!,Геймплей ну просто отвратительный!\nУНЫНИЕ!
buttons15_2,Why is there any gameplay!?\nThe game doesn’t need it at all!,Зачем здесь вообще геймплей?!\nОн просто не нужен!
buttons15_3,It’s the first time I honestly regret there were\nno QTEs in a game.,"Впервые жалею, что в игре нет QTE."
buttons15_4,Press nothing to win.,Press nothing to win.
buttons16_1,"The developers call THIS «a unique style»,\nI call it «a mistake».","Разработчики называют это «уникальным\nстилем», я называю это «ошибкой»."
buttons16_2,I’ve never seen such a bad art style in a game!,Более ущербной картинки в играх\nя ещё не видел!
buttons16_3,This is what happens when you hire web influencers\nwithout any experience.,"Вот, что бывает, когда нанимаешь бездарей\nиз интернета."
buttons16_4,After ten hours of this crap I wanted to poke\nmy eyes out!,В середине игры уже хотелось выколоть\nсебе глаза!
writing,The developers of this game,Разработчики этой игры
writing_empty,were too lazy to make it good. I am too lazy to write a review. 0/10,"оказались слишком ленивы, чтобы сделать её хорошей. А я слишком ленив, чтобы написать обзор. 0/10"
writing_send,Send,Отправить
tfot_guy,Guy,Парень
tfot_girl,Girl,Девушка
tfot_rebel,Rebel Leader,Боевичок
tfot_old,Old man,Старик
easter_1,"[center][color=black]The game is made for the[/color]
[color=blue][url=itch]""I can't write but want
to tell a story"" gamejam.[/url][/color][/center]","[center][color=black]Игра создана для джема[/color]
[color=blue][url=itch]""I can't write but want
to tell a story.""[/url][/color][/center]"
easter_2,"Hey! You've just clicked on a painting that was\ndrawn by the mother of one of our artists when\nshe was young. Don't forget to call your mom\nafter finishing this game and tell her that\nyou love her, she'll be very happy! :3","Эй! Вы только что кликнули на картинку,\nкоторую в молодости нарисовала мама одного\nиз наших художников. Не забудьте позвонить\nсвоей маме и сказать, что вы её любите,\nона будет очень рада! :3"
easter_3,"[center][color=black]Did you play
""Burn The Kingdom""?[/color]
[color=blue][url=btk]Check it out![/url][/color][/center]","[center][color=black]Ещё не играли в
""Burn The Kingdom""?[/color]
[color=blue][url=btk]Стоит попробовать![/url][/color][/center]"
,,"[center][color=black]Ещё не играли в
""Burn The Kingdom""?[/color]
[color=blue][url=btk]Стоит попробовать![/url][/color][/center]"
